0,1,2,3,4,5,6,7,8
CSE 3070 Advanced Computer Network,CSE3070 Advanced Computer Networks,CSE 2011 Data Communications and Computer Networks,CSE211 Computer Networks,CSE2011 Data Communications and Computer Networks,,,,
CSE 225 Introduction to Combinatorics and Graph Theory,CSE225 Introduction to Combinatorics and Graph Theory,,,,,,,
CSE255 Analysis of Algorithms Lab,CSE212/2007 Analysis of Algorithms,,,,,,,
CSE218 Human-Computer Interaction,,,,,,,,
CSE325 Introduction to Bioinformatics,,,,,,,,
CSE396 Software Testing and Quality Assurance,CSA 2003 Software Metrics and Quality Management,CSE 3043 Automated Test Management,,,,,,
CSE299 Data Analytics using R,CSE 3035 R Programming for Data Science,CSE3035 R Programming for Data Science,,,,,,
CSE2074 Database Management Systems,CSE3156 Database Management Systems,,,,,,,
CSE3006 Artificial Intelligence and Neural Networks,CSE3108 Expert Systems,CSE 228 Principles of Artificial Intelligence,CSE3005 Applied Artificial Intelligence,CSE3108 Expert Systems,CSE3157 Artificial Intelligence and Machine Learning,CSE3001 Artificial Intelligence and Machine Learning,CSE3076 Artificial Intelligence for Robotics,CSE3005 Applied Artificial Intelligence
CSE248 Object-Oriented Analysis and Design with UML,CSE 2014 Software Engineering,CSE227 Software Engineering and Project Management,CSE2014 Software Engineering,,,,,
CSE1001 Problem Solving using JAVA,CSE 3146 Advanced Java Programming,CSE 2008 Programming in Java (Object-Oriented Programming),CSE502 Technical Skills in Java,,,,,
CSE302 Programming in C# and .NET Framework,CSE 3152 .NET Full Stack Development,CSE 392 .NET Full Stack Development (Lab),CSE3152 .NET Full Stack Development,,,,,
CSE397 Digital and Mobile Forensics,CSE2037 Cyber Forensics,,,,,,,
CSE3001 Artificial Intelligence and Machine Learning,CSE319 Machine Learning,CSE 228 Principles of Artificial Intelligence,CSE3157 Artificial Intelligence and Machine Learning,CSE 261 Machine Learning Using Python,CSE3006 Artificial Intelligence and Neural Networks,,,
CSE-404 Social Network Analytics,,,,,,,,
CSE301 Programming in Advanced JAVA,CSE 3151 Java Full Stack Development,CSE 391 Java Full Stack Development (Lab),CSE391 Java Full Stack Development,,,,,
CSE311 Web Services,CSE 3125 / CSE 265 Service Oriented Architecture,,,,,,,
CSE233/CSE306 Cloud Computing,CSE3127 Cloud Application Development,CSE3095 Cloud Security,CSE 2057 Cloud Computing and Virtualization,CSE 3095 Cloud Security,CSE2069 Cloud Computing,,,
CSE314 Software Architecture,CSE3089 Software Architecture,,,,,,,
CSE217 Compiler Design,,,,,,,,
CSE252 Digital Design Laboratory,CSE202 Digital Design,,,,,,,
CSE307 Data Mining,,,,,,,,
CSE2009 Computer Organization and Architecture,,,,,,,,
CSE203 Discrete Mathematics,,,,,,,,
CSE225 Introduction to Combinatorics and Graph Theory,CSE 225 Introduction to Combinatorics and Graph Theory,,,,,,,
CSE211 Computer Networks,CSE3155 Data Communications and Computer Networks,CSE 2011 Data Communications and Computer Networks,CSE 3070 Advanced Computer Network,CSE2011 Data Communications and Computer Networks,,,,
CSE250 System Administration and IT Infrastructure,,,,,,,,
CSE257 Network Programming,CSE3155 Data Communications and Computer Networks,,,,,,,
CSE465 Reinforcement Learning,CSE3011 Reinforcement Learning,,,,,,,
PIP103 Professional Practice–II,,,,,,,,
CSE208 Theory of Computation,,,,,,,,
CSE310 Mobile Applications and Development,,,,,,,,
